,Make,Model,Price,Year,Transmission,Listing Type,Body Type,Fuel Type,Engine Capacity - Cc,Engine Power - KW
373,BMW, 3 SERIES E46 MY05,14990,2005,,Used,Convertible,,,
374,SUBARU, L SERIES Touring Wagon,1950,1983,Automatic,Used,Wagon,Unleaded,1800,
375,FORD, ROADSTER,40000,,Automatic,Used,Roadster,Unleaded,,
376,TOYOTA, CAMRY Altise,7990,2008,Automatic,Used,Sedan,Unleaded,2400,
377,MAZDA, RX7 2,39000,1983,Manual,Used,Hatchback,Unleaded,,
378,MERCEDES-BENZ, 380,29990,1984,Automatic,Used,Sedan,Leaded Petrol,3839,
379,HOLDEN, TORANA LC GTR,145000,1970,Automatic,Used,Hardtop - Coupe,Premium Unleaded,,
380,CHEVROLET, STYLELINE DELUXE TIN WOODY,59990,1951,Manual,Used,Wagon,Unleaded,,
381,VOLKSWAGEN, TRANSPORTER T5 LWB,16990,,Automatic,Used,Van,Diesel,2000,
382,CHEVROLET, MALIBU,42900,1967,,Used,Sedan,,,
383,MERCEDES-BENZ, E250,49990,2011,Automatic,Used,Convertible,Diesel,2143,
384,CADILLAC, ESCALADE,149990,2007,Automatic,Used,Wagon,Leaded Petrol,0,
385,CHEVROLET, CORVETTE C3 25th anniversary limited edition,33990,1978,Automatic,Used,Hardtop - Coupe,Premium Unleaded,350,
386,JEEP, WRANGLER Sport,8999,1998,Manual,Used,Soft Top,,,
387,CHRYSLER, VALIANT CHARGER XL SPORTSMAN VJ,125000,1975,,Used,Hardtop - Coupe,,,
388,BENTLEY, CONTINENTAL,389990,2018,Automatic,Used,Hardtop - Coupe,Premium Unleaded,0,
389,FORD, MUSTANG,35000,1966,Manual,Used,Hardtop - Coupe,Unleaded,,
390,CHEVROLET, STYLELINE DELUXE TIN WOODY,59990,1951,Manual,Used,Wagon,Unleaded,,
391,MERCEDES-BENZ, 450SL,15990,1974,Automatic,Used,Roadster,Unleaded,,
392,HSV, GRANGE VS Series II,49500,1996,,Used,Sedan,,,
393,MERCEDES-BENZ, 560,99990,1989,Automatic,Used,Hardtop - Coupe,Unleaded,5547,
394,TOYOTA, LANDCRUISER GXL VDJ200R,49990,2014,Automatic,Used,Wagon,Diesel,4500,
395,TOYOTA, LANDCRUISER GXL,75990,2015,Manual,Used,Wagon,Diesel,4500,
396,MERCEDES-BENZ, SL350,46990,2004,,Used,Convertible,,,
397,CHEVROLET, C10 1/2 Ton,27990,1968,Automatic,Used,Ute,Unleaded,,
398,VOLKSWAGEN, AMAROK 2H MY12.5,22990,2012,,Used,Ute,,,
399,VOLKSWAGEN, EOS,21990,2012,Automatic,Used,Convertible,Premium Unleaded,1984,
400,MERCEDES-BENZ, 450SL,15990,1974,Automatic,Used,Roadster,Unleaded,,
401,MERCEDES-AMG, GLE 292 MY17,124990,2017,Automatic,Used,Wagon,Premium Unleaded,5461,430
402,AUDI, A4 B8 8K,14990,2008,,Used,Sedan,,,
403,MERCEDES-BENZ, S350 W221,18990,2006,Automatic,Used,Sedan,Premium Unleaded,3500,200
404,FORD, FAIRMONT Xc,69500,1978,,Used,Sedan,,,
405,MERCEDES-BENZ, S350,29990,2010,Automatic,Used,Sedan,Premium Unleaded,3498,
406,HOLDEN, EJ PREMIER,84888,1963,Automatic,Used,Sedan,Unleaded,,
407,AUDI, S8,160000,2016,Tiptronic,Used,Sedan,,,445
408,FORD, FALCON FG,24990,2008,Manual,Used,Sedan,Unleaded,3984,
409,MERCEDES-BENZ, C250,22500,2013,Automatic,Used,Sedan,Premium Unleaded,,
410,BMW, Z4 E85 MY05,24990,2006,,Used,Roadster,,,
411,FPV, F6 TYPHOON BA MKII,30000,2004,Manual,Used,Sedan,,3984,270
412,PONTIAC, BONNEVILLE,84990,1963,Manual,Used,Convertible,Unleaded,,
413,CHRYSLER, CL,49000,1977,Automatic,Used,Ute,Premium Unleaded,5200,
