,Make,Model,Price,Year,Transmission,Listing Type,Body Type,Fuel Type,Engine Capacity - Cc,Engine Power - KW
0,AC, COBRA,70000,1995,Automatic,Used,Soft Top,Premium Unleaded,4900,
1,SUBARU, LIBERTY Gt,20000,1997,Manual,Used,Sedan,Unleaded,2000,
2,TOYOTA, CAMRY,11500,2016,Automatic,Used,Sedan,,,V6
3,FORD, CORTINA TC 2 Door,57995,1972,Manual,Used,Hardtop - Coupe,Unleaded,1600,
4,FORD, FALCON XF,15000,1985,Automatic,Used,Wagon,Unleaded,4100,
5,FORD, MUSTANG,45000,1973,Automatic,Used,Soft Top,Unleaded,,
6,FORD, RANCHERO GT,24000,1971,Automatic,Used,Ute,,,
7,HSV, GTSR 2,210000,2017,Automatic,Used,Sedan,Premium Unleaded,6162,435
8,IVECO, DAILY,41990,2017,Automatic,Used,Van,Diesel,0,
9,FORD, FAIRLANE SKYLINER,85000,1957,,Used,Convertible,Unleaded,312,245
10,SHELBY, GT500 GT500KR,165000,2008,Manual Overdrive,Used,Fastback,Premium Unleaded,5400,403
11,FORD, 150 Harley Davidson Anniversary,55500,2003,Automatic,Used,Ute,Premium Unleaded,329,283
12,MAZDA, RX7 3,75000,1983,Manual,Used,Hardtop - Coupe,Premium Unleaded,,
13,CHEVROLET, BELAIR,75000,1956,Automatic,Used,Sedan,Leaded Petrol,,
14,PONTIAC, GTO,110000,1967,Manual,Used,Hardtop - Coupe,,,
15,NISSAN, 300ZX Fairlady Z,55000,1994,Manual,Used,Targa,Unleaded,6,215
16,SUBARU, LIBERTY Gt,20000,1997,Manual,Used,Sedan,Unleaded,2000,
17,HSV, GTS Gen F2,124995,2015,Automatic,Used,Sedan,Premium Unleaded,,
18,MORRIS, MINI DELUXE,25000,1968,Manual,Used,Sedan,Leaded Petrol,998,
19,JAGUAR, E-TYPE II,169000,1969,Automatic,Used,Fastback,Premium Unleaded,,
20,OLDSMOBILE, F36,30000,1936,Manual,Used,Sedan,Premium Unleaded,3500,70
21,MERCEDES-BENZ, CLK55 AMG,35999,2000,Automatic,Used,Hardtop - Coupe,Leaded Petrol,,5.4L
22,CHEVROLET, CAMARO,88000,1968,Automatic,Used,Convertible,Unleaded,,
23,CHRYSLER, LEBARON Medallion,37000,1978,Automatic,Used,Hardtop - Coupe,Premium Unleaded,225,67kw
24,LOTUS, 61,65000,1969,,Used,Open Wheeler,,,
25,MERCEDES-BENZ, 300CE,22000,,Automatic,Used,Hardtop - Coupe,,,
26,DODGE, DART,39000,1973,Automatic,Used,Hardtop - Coupe,,5896,
27,MERCEDES-BENZ, E270 CDI,16999,,Sequential Manual Auto,Used,Sedan,Diesel,2700,
28,FORD, ROADSTER,40000,,Automatic,Used,Roadster,Unleaded,,
29,FORD, F SERIES F250 custom xlt,57500,1976,Automatic,Used,Style Side,Premium Unleaded,7800,350
30,HOLDEN, HR,40500,1966,Manual,Used,Ute,Premium Unleaded,,186
31,PONTIAC, GTO,110000,1967,Manual,Used,Hardtop - Coupe,,,
32,KOPELKE KITCARS, GT40,24000,,,New,Hardtop - Coupe,,,
33,CHEVROLET, BEL AIR,95000,1955,,Used,Hardtop - Coupe,Premium Unleaded,350,290
34,MERCEDES-BENZ, 300SEL W109,52000,1970,Automatic,Used,Sedan,Premium Unleaded,3475,156
35,HSV, CLUBSPORT R8 30th Anniversary Tourer,154500,2017,Automatic,Used,Wagon,Premium Unleaded,,
36,MERCEDES-AMG, C63 S C,114988,2017,Automatic,Used,Hardtop - Coupe,Premium Unleaded,,
37,HOLDEN, CALAIS-V Vf,35000,2014,Sportmatic,Used,Sedan,Premium Unleaded,,300
38,VOLKSWAGEN, 1500 Beetle,25000,1965,Manual,Used,Sedan,Unleaded,1600,55
39,FORD, LTD XF,23400,1985,Automatic,Used,Wagon,Unleaded,,117
40,FORD, ROADSTER,160000,1937,Automatic,Used,Roadster,,,
41,SUBARU, BRUMBY,18000,1992,Manual,Used,Ute,Premium Unleaded,2000,
42,FORD, ROADSTER,40000,,Automatic,Used,Roadster,Unleaded,,
43,NISSAN, 720 Sports kingcab,8500,1986,Manual,Used,Ute,Leaded Petrol,22,
44,HONDA, JAZZ,8500,2018,Automatic,Used,Hatchback,Dual Fuel,,V6
45,CHRYSLER, IMPERIAL Crown,17500,1963,Automatic,Used,Limousine,Leaded Petrol,413,450
46,MORGAN, 4/4 V,50000,1966,Manual,Used,Convertible,Leaded Petrol,1500,
47,CHEVROLET, CORVETTE C3,35000,1975,Manual,Used,Hardtop - Coupe,Unleaded,350,
48,MERCEDES-BENZ, 420SEL 420 SEL,18000,1989,Automatic,Used,Sedan,Unleaded,4200,
49,HOLDEN, COMMODORE SLE,30000,1983,Automatic,Used,Sedan,LPG,,
50,HOLDEN, SANDMAN wb,35000,1980,Automatic,Used,Panel Van,Unleaded,202,
51,AUSTIN HEALEY, BN7 2,85000,1963,Manual Overdrive,Used,Convertible,Unleaded,3000,
52,NISSAN, 300ZX,4500,1985,Automatic,Used,Hardtop - Coupe,Premium Unleaded,,
53,FORD, TORINO GT,28000,1968,Automatic,Used,Hardtop - Coupe,Unleaded,,
54,FERRARI, DAYTONA,46995,1975,Automatic,Used,Convertible,Unleaded,,
55,HUDSON, SUPER 6,37000,,Manual,Used,Sedan,Unleaded,,
56,DAIHATSU, TAFT F20,18000,1978,Manual,Used,Open Wheeler,Unleaded,1600,60
57,FORD, MUSTANG ALLAN MOFFAT TRIBUTE,155000,1969,,Used,Fastback,,,
58,FORD, MUSTANG ROUSH RS3,132000,2019,Manual,Used,Fastback,Premium Unleaded,5000,530
59,HOLDEN, COMMODORE Ve ssv,32000,2010,Manual,Used,Ute,Premium Unleaded,6000,
60,HOLDEN, MONARO HG GTS,284888,1970,Automatic,Used,Hardtop - Coupe,Premium Unleaded,350,
61,OLDSMOBILE, F36,30000,1936,Manual,Used,Sedan,Premium Unleaded,3500,70
62,HOLDEN, FC,210000,1958,Manual,Used,Ute,Premium Unleaded,,
63,JAGUAR, D-TYPE REPLICA,26000,,,New,Roadster,,,
64,MERCEDES-BENZ, 300CE,22000,,Automatic,Used,Hardtop - Coupe,,,
65,FORD, TRANSIT,8900,,Manual,Used,Tray,Unleaded,,
66,JAGUAR, XKR,60000,1999,Automatic,Used,Convertible,Premium Unleaded,4000,370 HP
67,FORD, CORTINA 440,7500,1968,Automatic,Used,Sedan,Leaded Petrol,1600,162.0
68,FORD, MUSTANG FASTBACK,95000,1969,Automatic,Used,Fastback,Premium Unleaded,,
69,LEYLAND, P76 EXECUTIVE,32000,,Automatic,Used,Sedan,Premium Unleaded,4416,
70,PONTIAC, GRANDVILLE,36500,1973,Automatic,Used,Convertible,,,
71,DODGE, AT4 RAM,5500,1972,Manual,Used,Panel Van,Leaded Petrol,265,
72,HOLDEN, MONARO HG GTS,284888,1970,Automatic,Used,Hardtop - Coupe,Premium Unleaded,350,
73,VOLKSWAGEN, KOMBI T2,69999,1974,Manual,Used,Van,Premium Unleaded,2000,
74,FORD, SHELBY GT500 Super Snake,260000,2014,Manual,Used,Fastback,Premium Unleaded,5800,850hp
75,TRIUMPH, TR6 Convertible,45500,1973,Manual,Used,Convertible,Premium Unleaded,2500,108
76,FORD, MUSTANG,26500,1967,Automatic,Used,Hardtop - Coupe,,,
77,FORD, T MODEL,255000,1920,,Used,Tourer,Premium Unleaded,,
78,MORRIS, MINOR 4,2000020000,1961,Manual,Used,Sedan,Leaded Petrol,948,
79,JAGUAR, XJS,38500,1986,Automatic,Used,Sedan,Unleaded,5344,
80,MITSUBISHI, 380,39000,2008,Automatic,Used,Sedan,Premium Unleaded,3800,230
81,LINCOLN, CONTINENTAL,52500,1965,Automatic,Used,Convertible,Unleaded,,
82,MERCEDES-BENZ, CLK55 AMG,35999,2000,Automatic,Used,Hardtop - Coupe,Leaded Petrol,,5.4L
83,AUSTIN HEALEY, 3000 BJ7,89500,1963,Manual,Used,Convertible,Unleaded,2962,
84,CHEVROLET, IMPALA,104990,1960,Automatic,Used,Hardtop - Coupe,,,
85,CADILLAC, COUPE DE VILLE,45000,1967,Automatic,Used,Hardtop - Coupe,Leaded Petrol,,
86,CHRYSLER, CH,35000,,Automatic,Used,Sedan,Premium Unleaded,318,
87,JAGUAR, XJ6 XJ40 Sovereign,25000,1991,,Used,Sedan,Unleaded,4000,
88,CHEVROLET, COUPE,154990,1934,,Used,Roadster,,,
89,CHEVROLET, CORVETTE,55000,2020,Automatic,Used,Hardtop - Coupe,Dual Fuel,,
90,HOLDEN, FC,45000,1958,Manual,Used,Sedan,Unleaded,,
91,DAYTONA, COUPE,175000,,Sequential Sports Shift,Used,Hardtop - Coupe,Premium Unleaded,7000,410
92,CHRYSLER, VALIANT AP5,47000,1965,Automatic,Used,Sedan,Leaded Petrol,,
93,HOLDEN, CALAIS SV 150,35000,1989,Automatic,Used,Sedan,Unleaded,5000,180
94,TRIUMPH, TR6 Convertible,45500,1973,Manual,Used,Convertible,Premium Unleaded,2500,108
95,FORD, UTE BODY,8000,1938,,Used,Ute,,,
96,MG, BGT,26000,1975,Manual Overdrive,Used,Hardtop - Coupe,Premium Unleaded,,
97,MERCURY, CLASSIC CRUISER,59500,1957,Automatic,Used,Hardtop - Coupe,Premium Unleaded,5100,
98,FORD, F SERIES F250 custom xlt,57500,1976,Automatic,Used,Style Side,Premium Unleaded,7800,350
99,HOLDEN, HJ Kingswood,21500,1975,Automatic,Used,Ute,Leaded Petrol,5,
100,CITROEN, CX 2500 Gti,22500,1985,Automatic,Used,Fastback,Unleaded,2500,101KW
101,WESTFIELD, CLUBMAN,29950,1984,Manual,Used,Roadster,Unleaded,1558,120
102,FORD, PICKUP,50000,1932,,Used,Roadster,,,
103,LOLA, T200,36000,1970,Manual,Used,Open Wheeler,Ethanol,1600,
104,CADILLAC, SERIES 62,160000,,Automatic,Used,Sedan,Unleaded,390,
105,CHEVROLET, SILVERADO 1500,44900,,Automatic,Used,Ute,Unleaded,350,
106,FORD, MUSTANG,26500,1967,Automatic,Used,Hardtop - Coupe,,,
107,DRB, 540 1 of 1,180000,2009,Manual,Used,Convertible,Premium Unleaded,540,330
108,LOTUS, SEVEN,65000,,Manual,Used,Convertible,,,
109,DODGE, PHOENIX,27400,1969,Automatic,Used,Sedan,Unleaded,5200,
110,HOLDEN, ONE TONNER HX,28000,1977,Automatic,Used,Ute,Leaded Petrol,,
111,BMW, Z4 E89,38750,2010,Automatic,Used,Roadster,Premium Unleaded,3000,190
112,LINCOLN, CONTINENTAL,70000,,Automatic,Used,Convertible,Premium Unleaded,460,
113,FORD, F100,100000,1951,Automatic,Used,Ute,Dual Fuel,351,
114,FORD, F100 XLT,42000,1979,Manual,Used,Ute,Dual Fuel,351,5766.0
115,FORD, DELUXE,52000,1939,Manual,Used,Convertible,Premium Unleaded,,
116,CHRYSLER, 300C,110000,2007,Automatic,Used,Limousine,Diesel,,
117,HOLDEN, KINGSWOOD HX,16000,1976,Automatic,Used,Wagon,Unleaded,,
118,LOTUS, 61,65000,1969,,Used,Open Wheeler,,,
119,DODGE, AT4 114,55000,1967,Automatic,Used,Ute,Premium Unleaded,318,350 hp
120,MERCEDES-BENZ, 190E,20000,1987,Automatic,Used,Sedan,Premium Unleaded,,2.6
121,MAZDA, RX7 3,75000,1983,Manual,Used,Hardtop - Coupe,Premium Unleaded,,
122,FORD, MUSTANG,42000,1966,Manual,Used,Hardtop - Coupe,,4727,
123,MORRIS, MINI DELUXE,25000,1968,Manual,Used,Sedan,Leaded Petrol,998,
124,FORD, SEDAN XB GT,155990,1974,Automatic,Used,Sedan,,,
125,FORD, FALCON 500 XA XA GS,57500,1973,Manual,Used,Ute,Unleaded,5800,
126,CUSTOM, SPORTS COUPE,21000,1948,Manual,Used,Tourer,Unleaded,,
127,CUSTOM,  X7,65000,2003,Manual,Used,Roadster,Premium Unleaded,,
128,OLDSMOBILE, TORONADO,49500,1968,Automatic,Used,Hardtop - Coupe,Unleaded,7456,
129,CUSTOM, TRIBILDA ICV Trike,55000,1994,Manual,Used,Convertible,Premium Unleaded,1100,67
130,FORD, CORTINA 440,7500,1968,Automatic,Used,Sedan,Leaded Petrol,1600,162.0
131,HOLDEN, COMMODORE SS SS V Redline VF Series II Auto MY17,73000,2017,Automatic,Used,Sedan,,,
132,HSV, SENATOR VY II SERIES 2,37500,2004,Automatic,Used,Sedan,Premium Unleaded,5700,
133,SUBARU, BRUMBY,18000,1992,Manual,Used,Ute,Premium Unleaded,2000,
134,FORD, CORTINA Mk 2,25000,1968,Automatic,Used,Sedan,Leaded Petrol,,
135,HOLDEN, BROUGHAM,20000,,Automatic,Used,Sedan,Leaded Petrol,,
136,NISSAN, 200SX S15,49900,2000,Automatic,Used,Hardtop - Coupe,Premium Unleaded,2000,
137,HOLDEN, KINGSWOOD HZ,29888,1979,Automatic,Used,Wagon,Premium Unleaded,308,
138,FORD, FAIRMONT GXL,48000,1977,Automatic,Used,Sedan,Unleaded,,
139,CHEVROLET, 1100,34000,1954,Manual,Used,Tray,Unleaded,,
140,CUSTOM, SPORTS COUPE,21000,1948,Manual,Used,Tourer,Unleaded,,
141,FORD, MUSTANG ROUSH RS3,132000,2019,Manual,Used,Fastback,Premium Unleaded,5000,530
142,FORD, MUSTANG,45000,1973,Automatic,Used,Soft Top,Unleaded,,
